event_type,official_release_timestamp,original_timezone,release_timestamp_utc,official_source,source_document,source_release_identifier,acquisition_timestamp_utc,verification_basis,broker_wall_timestamp
EMPLOYMENT,"embargoed until USDL-17-1616 8:30 a.m. (EST) Friday, December 8, 2017 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EST,2017-12-08T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_12082017.htm,empsit_12082017,2026-09-03T15:43:38.139821Z,official document release or embargo timestamp,2017-12-08T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) December 13, 2017 USDL-17-1643 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � NOVEMBER 2017 The Consumer Price Index for All ",EST,2017-12-13T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_12132017.htm,cpi_12132017,2026-09-03T15:41:44.124584Z,official document release or embargo timestamp,2017-12-13T15:30:00
FOMC,For release at 2:00 p.m. EST Share Information received since the Federal Open Market Committee met in November indicates that the labor market has continued to strengthen and that economic activity has been rising at a solid rate. Averaging through hurricane-,EST,2017-12-13T19:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20171213a.htm,monetary20171213a,2026-09-03T15:48:38.530008Z,official document release or embargo timestamp,2017-12-13T21:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, Friday, December 22, 2017 BEA 17-70 Personal Income And Outlays, November 2017 Personal income increased $54.0 billion (0.3 percent) in November according to estimates released today by the Bureau of Economic Analysis.",EST,2017-12-22T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2017/personal-income-and-outlays-november-2017,personal-income-and-outlays-november-2017,2026-09-03T15:46:10.370930Z,official document release or embargo timestamp,2017-12-22T15:30:00
EMPLOYMENT,"embargoed until USDL-18-0024 8:30 a.m. (EST) Friday, January 5, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 ",EST,2018-01-05T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_01052018.htm,empsit_01052018,2026-09-03T15:43:38.991292Z,official document release or embargo timestamp,2018-01-05T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) January 12, 2018 USDL-18-0039 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � DECEMBER 2017 The Consumer Price Index for All U",EST,2018-01-12T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_01122018.htm,cpi_01122018,2026-09-03T15:41:45.058060Z,official document release or embargo timestamp,2018-01-12T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, Monday, January 29, 2018 BEA 18-05 Personal Income and Outlays, December 2017 Personal income increased $58.7 billion (0.4 percent) in December according to estimates released today by the Bureau of Economic Analysis. ",EST,2018-01-29T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-december-2017,personal-income-and-outlays-december-2017,2026-09-03T15:46:17.570837Z,official document release or embargo timestamp,2018-01-29T15:30:00
FOMC,"For release at 2:00 p.m. EST Share The Federal Open Market Committee, at its annual organizational meeting this week, unanimously reaffirmed its ""Statement of Longer-Run Goals and Monetary Policy Strategy"" with an updated reference to the median of participant",EST,2018-01-31T19:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131b.htm,monetary20180131b,2026-09-03T15:48:39.281471Z,official document release or embargo timestamp,2018-01-31T21:00:00
EMPLOYMENT,"embargoed until USDL-18-0154 8:30 a.m. (EST) Friday, February 2, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EST,2018-02-02T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_02022018.htm,empsit_02022018,2026-09-03T15:43:40.002423Z,official document release or embargo timestamp,2018-02-02T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) February 14, 2018 USDL-18-0238 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � JANUARY 2018 The Consumer Price Index for All U",EST,2018-02-14T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_02142018.htm,cpi_02142018,2026-09-03T15:41:46.022480Z,official document release or embargo timestamp,2018-02-14T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, Thursday, March 1, 2018 BEA 18-09 Personal Income and Outlays, January 2018 Personal income increased $64.7 billion (0.4 percent) in January according to estimates released today by the Bureau of Economic Analysis. Dis",EST,2018-03-01T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-january-2018,personal-income-and-outlays-january-2018,2026-09-03T15:46:19.672395Z,official document release or embargo timestamp,2018-03-01T15:30:00
EMPLOYMENT,"embargoed until USDL-18-0335 8:30 a.m. (EST) Friday, March 9, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * ",EST,2018-03-09T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_03092018.htm,empsit_03092018,2026-09-03T15:43:40.918324Z,official document release or embargo timestamp,2018-03-09T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) March 13, 2018 USDL-18-0373 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � FEBRUARY 2018 The Consumer Price Index for All Urb",EDT,2018-03-13T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_03132018.htm,cpi_03132018,2026-09-03T15:41:47.230941Z,official document release or embargo timestamp,2018-03-13T14:30:00
FOMC,For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in January indicates that the labor market has continued to strengthen and that economic activity has been rising at a moderate rate. Job gains have been strong,EDT,2018-03-21T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180321a.htm,monetary20180321a,2026-09-03T15:48:39.653390Z,official document release or embargo timestamp,2018-03-21T20:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Thursday, March 29, 2018 BEA 18-15 Personal Income and Outlays, February 2018 Personal income increased $67.3 billion (0.4 percent) in February according to estimates released today by the Bureau of Economic Analysis. ",EDT,2018-03-29T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-february-2018,personal-income-and-outlays-february-2018,2026-09-03T15:46:18.198271Z,official document release or embargo timestamp,2018-03-29T15:30:00
EMPLOYMENT,"embargoed until USDL-18-0508 8:30 a.m. (EDT) Friday, April 6, 2018. Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 *",EDT,2018-04-06T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_04062018.htm,empsit_04062018,2026-09-03T15:43:41.830402Z,official document release or embargo timestamp,2018-04-06T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) April 11, 2018 USDL-18-0542 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � MARCH 2018 The Consumer Price Index for All Urban ",EDT,2018-04-11T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_04112018.htm,cpi_04112018,2026-09-03T15:41:48.120342Z,official document release or embargo timestamp,2018-04-11T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Thursday, April 30, 2018 BEA 18-20 Personal Income and Outlays, March 2018 Personal income increased $47.8 billion (0.3 percent) in March according to estimates released today by the Bureau of Economic Analysis. Dispos",EDT,2018-04-30T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-march-2018,personal-income-and-outlays-march-2018,2026-09-03T15:46:23.247495Z,official document release or embargo timestamp,2018-04-30T15:30:00
FOMC,"For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in March indicates that the labor market has continued to strengthen and that economic activity has been rising at a moderate rate. Job gains have been strong, ",EDT,2018-05-02T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180502a.htm,monetary20180502a,2026-09-03T15:48:40.017515Z,official document release or embargo timestamp,2018-05-02T21:00:00
EMPLOYMENT,"embargoed until USDL-18-0683 8:30 a.m. (EDT) Friday, May 4, 2018. Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * P",EDT,2018-05-04T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_05042018.htm,empsit_05042018,2026-09-03T15:43:42.692192Z,official document release or embargo timestamp,2018-05-04T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) May 10, 2018 USDL-18-0744 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � APRIL 2018 The Consumer Price Index for All Urban Co",EDT,2018-05-10T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_05102018.htm,cpi_05102018,2026-09-03T15:41:49.094560Z,official document release or embargo timestamp,2018-05-10T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Thursday, May 31, 2018 BEA 18-25 Personal Income and Outlays, April 2018 Personal income increased $49.5 billion (0.3 percent) in April according to estimates released today by the Bureau of Economic Analysis. Disposab",EDT,2018-05-31T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-april-2018,personal-income-and-outlays-april-2018,2026-09-03T15:46:15.431730Z,official document release or embargo timestamp,2018-05-31T15:30:00
EMPLOYMENT,"embargoed until USDL-18-0916 8:30 a.m. (EDT) Friday, June 1, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * P",EDT,2018-06-01T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_06012018.htm,empsit_06012018,2026-09-03T15:43:43.631431Z,official document release or embargo timestamp,2018-06-01T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) June 12, 2018 USDL-18-0995 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � MAY 2018 The Consumer Price Index for All Urban Con",EDT,2018-06-12T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_06122018.htm,cpi_06122018,2026-09-03T15:41:50.214723Z,official document release or embargo timestamp,2018-06-12T15:30:00
FOMC,"For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in May indicates that the labor market has continued to strengthen and that economic activity has been rising at a solid rate. Job gains have been strong, on av",EDT,2018-06-13T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180613a.htm,monetary20180613a,2026-09-03T15:48:40.373152Z,official document release or embargo timestamp,2018-06-13T21:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Friday, June 29, 2018 BEA 18-32 Personal Income and Outlays, May 2018 Personal income increased $60.0 billion (0.4 percent) in May according to estimates released today by the Bureau of Economic Analysis. Disposable pe",EDT,2018-06-29T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-may-2018,personal-income-and-outlays-may-2018,2026-09-03T15:46:23.927440Z,official document release or embargo timestamp,2018-06-29T15:30:00
EMPLOYMENT,"embargoed until USDL-18-1110 8:30 a.m. (EDT) Friday, July 6, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * P",EDT,2018-07-06T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_07062018.htm,empsit_07062018,2026-09-03T15:43:44.576049Z,official document release or embargo timestamp,2018-07-06T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) July 12, 2018 USDL-18-1143 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � JUNE 2018 The Consumer Price Index for All Urban Co",EDT,2018-07-12T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_07122018.htm,cpi_07122018,2026-09-03T15:41:51.214892Z,official document release or embargo timestamp,2018-07-12T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Tuesday, July 31, 2018 18-39 Personal Income and Outlays, June 2018 Comprehensive Update: 1929 Through May 2018 Personal income increased $71.7 billion (0.4 percent) in June according to estimates released today by the",EDT,2018-07-31T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-june-2018,personal-income-and-outlays-june-2018,2026-09-03T15:46:22.611312Z,official document release or embargo timestamp,2018-07-31T15:30:00
FOMC,"For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in June indicates that the labor market has continued to strengthen and that economic activity has been rising at a strong rate. Job gains have been strong, on ",EDT,2018-08-01T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180801a.htm,monetary20180801a,2026-09-03T15:48:40.814811Z,official document release or embargo timestamp,2018-08-01T21:00:00
EMPLOYMENT,"embargoed until USDL-18-1240 8:30 a.m. (EDT) Friday, August 3, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 *",EDT,2018-08-03T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_08032018.htm,empsit_08032018,2026-09-03T15:43:45.499347Z,official document release or embargo timestamp,2018-08-03T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) August 10, 2018 USDL-18-1278 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � JULY 2018 The Consumer Price Index for All Urban ",EDT,2018-08-10T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_08102018.htm,cpi_08102018,2026-09-03T15:41:52.239575Z,official document release or embargo timestamp,2018-08-10T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Thursday, August 30, 2018. BEA 18-44 Personal Income and Outlays, July 2018 Personal income increased $54.8 billion (0.3 percent) in July according to estimates released today by the Bureau of Economic Analysis. Dispos",EDT,2018-08-30T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-july-2018,personal-income-and-outlays-july-2018,2026-09-03T15:46:21.144499Z,official document release or embargo timestamp,2018-08-30T15:30:00
EMPLOYMENT,"embargoed until USDL-18-1412 8:30 a.m. (EDT) Friday, September 7, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-590",EDT,2018-09-07T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_09072018.htm,empsit_09072018,2026-09-03T15:43:46.729247Z,official document release or embargo timestamp,2018-09-07T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) September 13, 2018 USDL-18-1453 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � AUGUST 2018 The Consumer Price Index for All U",EDT,2018-09-13T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_09132018.htm,cpi_09132018,2026-09-03T15:41:53.216971Z,official document release or embargo timestamp,2018-09-13T15:30:00
FOMC,"For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in August indicates that the labor market has continued to strengthen and that economic activity has been rising at a strong rate. Job gains have been strong, o",EDT,2018-09-26T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180926a.htm,monetary20180926a,2026-09-03T15:48:41.135491Z,official document release or embargo timestamp,2018-09-26T21:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Friday, September 28, 2018 BEA 18-52 Personal Income and Outlays, August 2018 Personal income increased $60.3 billion (0.3 percent) in August according to estimates released today by the Bureau of Economic Analysis. Di",EDT,2018-09-28T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-august-2018,personal-income-and-outlays-august-2018,2026-09-03T15:46:16.114948Z,official document release or embargo timestamp,2018-09-28T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Thursday, October 4, 2018 18-53 Personal Consumption Expenditures by State, 2017 .embedded-entity img{width: 65% !important; height: auto !important; margin: auto !important; padding: 15px 0px !important;} State person",EDT,2018-10-04T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-consumption-expenditures-state-2017,personal-consumption-expenditures-state-2017,2026-09-03T15:46:13.979587Z,official document release or embargo timestamp,2018-10-04T15:30:00
EMPLOYMENT,"embargoed until USDL-18-1586 8:30 a.m. (EDT) Friday, October 5, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 ",EDT,2018-10-05T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_10052018.htm,empsit_10052018,2026-09-03T15:43:47.783844Z,official document release or embargo timestamp,2018-10-05T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) October 11, 2018 USDL-18-1628 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � SEPTEMBER 2018 The Consumer Price Index for All ",EDT,2018-10-11T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_10112018.htm,cpi_10112018,2026-09-03T15:41:54.274512Z,official document release or embargo timestamp,2018-10-11T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Monday, October 29, 2018 18-57 Personal Income and Outlays, September 2018 Personal income increased $35.7 billion (0.2 percent) in September according to estimates released today by the Bureau of Economic Analysis. Di",EDT,2018-10-29T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-september-2018,personal-income-and-outlays-september-2018,2026-09-03T15:46:27.642464Z,official document release or embargo timestamp,2018-10-29T14:30:00
EMPLOYMENT,"embargoed until USDL-18-1739 8:30 a.m. (EDT) Friday, November 2, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EDT,2018-11-02T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_11022018.htm,empsit_11022018,2026-09-03T15:43:48.901019Z,official document release or embargo timestamp,2018-11-02T14:30:00
FOMC,For release at 2:00 p.m. EST Share Information received since the Federal Open Market Committee met in September indicates that the labor market has continued to strengthen and that economic activity has been rising at a strong rate. Job gains have been strong,EST,2018-11-08T19:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20181108a.htm,monetary20181108a,2026-09-03T15:48:41.493767Z,official document release or embargo timestamp,2018-11-08T21:00:00
CPI,"embargoed until 8:30 a.m. (EST) November 14, 2018 USDL-18-1823 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � OCTOBER 2018 The Consumer Price Index for All U",EST,2018-11-14T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_11142018.htm,cpi_11142018,2026-09-03T15:41:55.389874Z,official document release or embargo timestamp,2018-11-14T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, THURSDAY, NOVEMBER 29, 2018 BEA 18-65 Personal Income and Outlays, October 2018 Personal income increased $84.9 billion (0.5 percent) in October according to estimates released today by the Bureau of Economic Analysis.",EST,2018-11-29T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-october-2018,personal-income-and-outlays-october-2018,2026-09-03T15:46:26.960152Z,official document release or embargo timestamp,2018-11-29T15:30:00
EMPLOYMENT,"embargoed until USDL-18-1912 8:30 a.m. (EST) Friday, December 7, 2018 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EST,2018-12-07T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_12072018.htm,empsit_12072018,2026-09-03T15:43:50.184834Z,official document release or embargo timestamp,2018-12-07T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) December 12, 2018 USDL-18-1938 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � NOVEMBER 2018 The Consumer Price Index for All ",EST,2018-12-12T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_12122018.htm,cpi_12122018,2026-09-03T15:41:56.844808Z,official document release or embargo timestamp,2018-12-12T15:30:00
FOMC,"For release at 2:00 p.m. EST Share Information received since the Federal Open Market Committee met in November indicates that the labor market has continued to strengthen and that economic activity has been rising at a strong rate. Job gains have been strong,",EST,2018-12-19T19:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20181219a.htm,monetary20181219a,2026-09-03T15:48:41.877134Z,official document release or embargo timestamp,2018-12-19T21:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 10:00 A.M. EST, FRIDAY, DECEMBER 21, 2018 BEA 18-72 Personal Income and Outlays, November 2018 Personal income increased $40.2 billion (0.2 percent) in November according to estimates released today by the Bureau of Economic Analysis",EST,2018-12-21T15:00:00Z,www.bea.gov,https://www.bea.gov/news/2018/personal-income-and-outlays-november-2018,personal-income-and-outlays-november-2018,2026-09-03T15:46:25.450677Z,official document release or embargo timestamp,2018-12-21T17:00:00
EMPLOYMENT,"embargoed until USDL-19-0002 8:30 a.m. (EST) Friday, January 4, 2019 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 ",EST,2019-01-04T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_01042019.htm,empsit_01042019,2026-09-03T15:43:51.173830Z,official document release or embargo timestamp,2019-01-04T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) January 11, 2019 USDL-19-0018 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX �DECEMBER 2018 The Consumer Price Index for All Ur",EST,2019-01-11T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_01112019.htm,cpi_01112019,2026-09-03T15:41:58.068859Z,official document release or embargo timestamp,2019-01-11T15:30:00
FOMC,"For release at 2:00 p.m. EST Share After extensive deliberations and thorough review of experience to date, the Committee judges that it is appropriate at this time to provide additional information regarding its plans to implement monetary policy over the lon",EST,2019-01-30T19:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190130c.htm,monetary20190130c,2026-09-03T15:48:42.966710Z,official document release or embargo timestamp,2019-01-30T21:00:00
EMPLOYMENT,"embargoed until USDL-19-0140 8:30 a.m. (EST) Friday, February 1, 2019 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EST,2019-02-01T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_02012019.htm,empsit_02012019,2026-09-03T15:43:52.298676Z,official document release or embargo timestamp,2019-02-01T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) February 13, 2019 USDL-19-0241 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX �JANUARY 2019 (NOTE: This news release was reissu",EST,2019-02-13T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_02132019.htm,cpi_02132019,2026-09-03T15:41:59.176250Z,official document release or embargo timestamp,2019-02-13T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, FRIDAY, MARCH 1, 2019 BEA 19—06 Personal Income and Outlays, December 2018; Personal Income, January 2019 Due to the recent partial government shutdown, this report combines estimates for December 2018 and January 2019",EST,2019-03-01T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2019/personal-income-and-outlays-december-2018-personal-income-january-2019,personal-income-and-outlays-december-2018-personal-income-january-2019,2026-09-03T15:46:33.449944Z,official document release or embargo timestamp,2019-03-01T15:30:00
EMPLOYMENT,"embargoed until USDL-19-0360 8:30 a.m. (EST) Friday, March 8, 2019 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * ",EST,2019-03-08T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_03082019.htm,empsit_03082019,2026-09-03T15:43:53.458578Z,official document release or embargo timestamp,2019-03-08T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) March 12, 2019 USDL-19-0399 Technical information: (202) 691-7000 � cpi_info@bls.gov � www.bls.gov/cpi Media Contact: (202) 691-5902 � PressOffice@bls.gov CONSUMER PRICE INDEX � FEBRUARY 2019 The Consumer Price Index for All Urb",EDT,2019-03-12T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_03122019.htm,cpi_03122019,2026-09-03T15:42:00.291252Z,official document release or embargo timestamp,2019-03-12T14:30:00
FOMC,"For release at 2:00 p.m. EDT Share In light of its discussions at previous meetings and the progress in normalizing the size of the Federal Reserve's securities holdings and the level of reserves in the banking system, all participants agreed that it is approp",EDT,2019-03-20T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190320c.htm,monetary20190320c,2026-09-03T15:48:43.739166Z,official document release or embargo timestamp,2019-03-20T20:00:00
